"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Cassipa","Buprenorphine Hydrochloride; Naloxone Hydrochloride","FILM;SUBLINGUAL","208042","TEVA PHARMS USA","06/17/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208042s005s007lbl.pdf#page=30"
"Cataflam","Diclofenac Potassium","TABLET;ORAL","020142","NOVARTIS","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020142s029lbl.pdf#page=19"
"Celebrex","Celecoxib","CAPSULE;ORAL","020998","UPJOHN","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020998s056lbl.pdf#page=22"
"Celebrex","Celecoxib","CAPSULE;ORAL","021156","GD SEARLE LLC","02/04/2011","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020998s033,021156s003MedG.pdf"
"Celexa","Citalopram Hydrobromide","SOLUTION;ORAL","021046","FOREST LABS","12/03/2012","https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020822s042,021046s019lbl.pdf#page=32"
"Celexa","Citalopram Hydrobromide","TABLET;ORAL","020822","ALLERGAN","02/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020822s042,021046s019lbl.pdf#page=32"
"Cellcept","Mycophenolate Mofetil","CAPSULE;ORAL","050722","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"Cellcept","Mycophenolate Mofetil","TABLET;ORAL","050723","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"Cellcept","Mycophenolate Mofetil Hydrochloride","INJECTABLE;INJECTION","050758","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"Cellcept","Mycophenolate Mofetil","FOR SUSPENSION;ORAL","050759","ROCHE PALO","08/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
"Celontin","Methsuximide","CAPSULE;ORAL","010596","PARKE DAVIS","06/15/2011","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229201.pdf"
"Cerdelga","Eliglustat Tartrate","CAPSULE;ORAL","205494","GENZYME CORP","08/29/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205494s003lbl.pdf#page=19"
"Chantix","Varenicline Tartrate","TABLET;ORAL","021928","PF PRISM CV","02/22/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021928s048lbl.pdf#page=22"
"Chlordiazepoxide and Amitriptyline Hydrochloride","Amitriptyline Hydrochloride; Chlordiazepoxide","TABLET;ORAL","071297","MYLAN PHARMS INC","02/05/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/071297Orig1s026MG.pdf"
"Cibinqo","Abrocitinib","TABLET; ORAL","213871","PFIZER INC","01/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213871s000lbl.pdf#page=26"
"Cimzia","Certolizumab Pegol","INJECTABLE; INJECTION","125160","UCB INC","12/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125160s305lbl.pdf#page=40"
"Cipro","Ciprofloxacin","INJECTABLE;INJECTION","019847","BAYER HLTHCARE","03/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019847s063lbl.pdf#page=33"
"Cipro","Ciprofloxacin Hydrochloride","TABLET;ORAL","019537","BAYER HLTHCARE","07/26/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019537s092lbl.pdf#page=39"
"Cipro","Ciprofloxacin","FOR SUSPENSION;ORAL","020780","BAYER HLTHCARE","07/26/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019537s093,020780s049lbl.pdf#page=40"
"Cipro in Dextrose 5% in Plastic Container","Ciprofloxacin","INJECTABLE;INJECTION","019857","BAYER HLTHCARE","03/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019857s073lbl.pdf#page=33"
"Cipro XR","Ciprofloxacin; Ciprofloxacin Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021473","BAYER HLTHCARE","07/26/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021473s043lbl.pdf#page=30"
"Citalopram","Citalopram Hydrobromide","CAPSULE; ORAL","215428","ALMATICA","01/31/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215428s000lbl.pdf#page=23"
"Clenpiq","Citric Acid; Magnesium Oxide; Sodium Picosulfate","SOLUTION;ORAL","209589","FERRING PHARMS INC","08/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/209589s014lbl.pdf#page=14"
"Clinoril","Sulindac","TABLET;ORAL","017911","MERCK","12/23/2010","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088573.pdf"
"Codeine Sulfate","Codeine Sulfate","TABLET;ORAL","022402","HIKMA","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022402s014lbl.pdf#page=29"
"Codeine Sulfate","Codeine Sulfate","SOLUTION;ORAL","202245","HIKMA","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202245s009lbl.pdf#page=29"
"Colcrys","Colchicine","TABLET; ORAL","022353","AR HOLDING CO INC","10/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/022353lbl.pdf#page=19"
"Colcrys","Colchicine","TABLET;ORAL","022352","TAKEDA PHARMS USA","05/14/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022352s026lbl.pdf#page=25"
"Combunox","Ibuprofen; Oxycodone Hydrochloride","TABLET;ORAL","021378","FOREST LABS","09/02/2010","https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021378s006lbl.pdf#page=30"
"Concerta","Methylphenidate Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021121","JANSSEN PHARMS","06/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021121s044lbl.pdf#page=30"
"Consensi","Amlodipine Besylate; Celecoxib","TABLET;ORAL","210045","PURPLE BIOTECH","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210045s009lbl.pdf#page=10"
"Contrave","Bupropion Hydrochloride; Naltrexone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","200063","NALPROPION","04/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/200063s020lbl.pdf#page=40"
"Conzip","Tramadol Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","022370","CIPHER PHARMS INC","09/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022370s023lbl.pdf#page=35"
"Copegus","Ribavirin","TABLET;ORAL","021511","ROCHE","08/11/2015","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021511s029lbl.pdf#page=27"
"Copiktra","Duvelisib","CAPSULE;ORAL","211155","SECURA","12/17/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/211155s005lbl.pdf#page=28"
"Cordarone","Amiodarone Hydrochloride","TABLET;ORAL","018972","WYETH PHARMS","10/17/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018972s054lbl.pdf#page=13"
"Corlanor","Ivabradine","SOLUTION;ORAL","209964","AMGEN INC","08/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206143s008,209964s002lblrpl.pdf#page=24"
"Corlanor","Ivabradine Hydrochloride","TABLET;ORAL","206143","AMGEN INC","08/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/206143s008,209964s002lblrpl.pdf#page=24"
"Cosentyx","Secukinumab","INJECTABLE;INJECTION","125504","NOVARTIS PHARMS CORP","12/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125504s043lbl.pdf#page=24"
"Cotempla XR-Odt","Methylphenidate","TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL","205489","NEOS THERAPS INC","06/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/205489s007lbl.pdf#page=22"
"Coumadin","Warfarin Sodium","INJECTABLE;INJECTION","009218","BRISTOL MYERS SQUIBB","08/14/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/009218s118lbl.pdf#page=30"
"Coumadin","Warfarin Sodium","TABLET;ORAL","009218","BRISTOL MYERS SQUIBB","08/14/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/009218s118lbl.pdf#page=30"
"Creon","Pancrelipase (Amylase;Lipase;Protease)","CAPSULE, DELAYED RELEASE;ORAL","020725","ABBVIE","06/02/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020725s028lbl.pdf#page=16"
"Cyltezo","Adalimumab-Adbm","INJECTABLE;INJECTION","761058","BOEHRINGER INGELHEIM","10/15/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761058s008lbl.pdf#page=33"
"Cymbalta","Duloxetine Hydrochloride","CAPSULE, DELAYED REL PELLETS;ORAL","021427","LILLY","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021427s056lbl.pdf#page=38"
"Daliresp","Roflumilast","TABLET;ORAL","022522","ASTRAZENECA","01/23/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/022522s009lbl.pdf#page=17"
"Dalmane","Flurazepam Hydrochloride","CAPSULE;ORAL","016721","VALEANT PHARM INTL","03/27/2009","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/016721s077lbl.pdf"
"Darvocet-N 100","Acetaminophen; Propoxyphene Napsylate","TABLET;ORAL","017122","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187067.pdf"
"Darvocet-N 50","Acetaminophen; Propoxyphene Napsylate","TABLET;ORAL","017122","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187067.pdf"
"Darvon","Propoxyphene Hydrochloride","CAPSULE;ORAL","010997","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187068.pdf"
"Darvon-N","Propoxyphene Napsylate","TABLET;ORAL","016862","XANODYNE PHARM","09/25/2009","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM187068.pdf"
"Daurismo","Glasdegib Maleate","TABLET;ORAL","210656","PFIZER","03/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/210656s002s004lbl.pdf#page=20"
"Daxxify","Daxibotulinumtoxina-Lanm","INJECTABLE;INTRAMUSCULAR","761127","REVANCE THERAPEUTICS, INC","09/07/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761127s000lbl.pdf#page=14"
"Daypro","Oxaprozin","TABLET;ORAL","018841","PFIZER","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018841s033lbl.pdf#page=25"
"Daypro Alta","Oxaprozin Potassium","TABLET;ORAL","020776","PFIZER","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020776s010lbl.pdf#page=22"
"Daytrana","Methylphenidate","FILM, EXTENDED RELEASE;TRANSDERMAL","021514","NOVEN PHARMS INC","06/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021514s032lbl.pdf#page=25"
"Dayvigo","Lemborexant","TABLET;ORAL","212028","EISAI INC","01/25/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212028s007lbl.pdf#page=21"
"Demerol","Meperidine Hydrochloride","TABLET;ORAL","005010","VALIDUS PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/005010s059lbl.pdf#page=32"
"Demerol","Meperidine Hydrochloride","INJECTABLE;INJECTION","005010","VALIDUS PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/005010s059lbl.pdf#page=32"
"Demerol","Meperidine Hydrochloride","SYRUP;ORAL","005010","VALIDUS PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/005010s059lbl.pdf#page=32"
"Depakene","Valproic Acid","CAPSULE;ORAL","018081","ABBVIE","05/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/018081s070,018082s053lbl.pdf#page=41"
"Depakene","Valproic Acid","SYRUP;ORAL","018082","ABBVIE","05/19/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018081Orig1s068%20018082Orig1s051lbl.pdf#page=38"
"Depakote","Divalproex Sodium","TABLET, DELAYED RELEASE;ORAL","018723","ABBVIE","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018723s065lbl.pdf#page=48"
"Depakote","Divalproex Sodium","CAPSULE, DELAYED REL PELLETS;ORAL","019680","ABBVIE","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019680s052lbl.pdf#page=42"
"Depakote ER","Divalproex Sodium","TABLET, EXTENDED RELEASE;ORAL","021168","ABBVIE","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021168s043lbl.pdf#page=48"
"Descovy","Emtricitabine; Tenofovir Alafenamide Fumarate","TABLET;ORAL","208215","GILEAD SCIENCES INC","01/07/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208215s019lbl.pdf#page=37"
"Desoxyn","Methamphetamine Hydrochloride","TABLET;ORAL","005378","RECORDATI RARE","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/005378s037lbl.pdf#page=12"
"Desoxyn","Methamphetamine Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","005378","RECORDATI RARE","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/005378s037lbl.pdf#page=12"
"Desvenlafaxine","Desvenlafaxine Fumarate","TABLET, EXTENDED RELEASE;ORAL","205208","TEVA PHARMS USA","07/18/2014","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205208Orig1s001lbl.pdf#page=23"
"Desvenlafaxine","Desvenlafaxine","TABLET, EXTENDED RELEASE;ORAL","204150","ALEMBIC PHARMS LTD","09/20/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204150s018lbl.pdf#page=32"
"Desyrel","Trazodone Hydrochloride","TABLET;ORAL","018207","PRAGMA","10/18/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/018207s032lbl.pdf#page=13"
"Desyrel","Trazodone Hydrochloride","TABLET;ORAL","018207","PRAGMA","10/18/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018207s033lbl.pdf#page=14"
"Dexedrine","Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","017078","IMPAX LABS INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/017078s054lbl.pdf#page=14"
"Dexilant","Dexlansoprazole","CAPSULE, DELAYED RELEASE;ORAL","022287","TAKEDA PHARMS USA","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022287s035lbl.pdf#page=24"
"Dextroamphetamine Sulfate","Dextroamphetamine Sulfate","SOLUTION;ORAL","040776","OUTLOOK PHARMS","01/04/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/40776MG.pdf#page=7"
"Diacomit","Stiripentol","FOR SUSPENSION;ORAL","207223","BIOCODEX SA","08/20/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206709s000,207223s000lbl.pdf#page=17"
"Diacomit","Stiripentol","CAPSULE;ORAL","206709","BIOCODEX SA","08/20/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206709s000,207223s000lbl.pdf#page=17"
"Dilantin","Phenytoin Sodium","CAPSULE;ORAL","084349","UPJOHN","09/07/2022","http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/084349s088lbl.pdf#page=21"
"Dilantin","Phenytoin","TABLET, CHEWABLE;ORAL","084427","PHARMACIA","10/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/084427s039s041lbl.pdf#page=17"
"Dilantin-125","Phenytoin","SUSPENSION;ORAL","008762","UPJOHN","03/03/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008762s066lbl.pdf#page=19"
"Dilantin-30","Phenytoin","SUSPENSION;ORAL","008762","UPJOHN","03/03/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/008762s066lbl.pdf#page=19"
"Dilaudid","Hydromorphone Hydrochloride","SOLUTION;ORAL","019891","RHODES PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019891s029,019892s037lbl.pdf#page=30"
"Dilaudid","Hydromorphone Hydrochloride","TABLET;ORAL","019892","RHODES PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019891s029,019892s037lbl.pdf#page=30"
"Dolophine Hydrochloride","Methadone Hydrochloride","SYRUP;ORAL","006134","HIKMA","06/02/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/006134s050lbl.pdf#page=36"
"Dolophine Hydrochloride","Methadone Hydrochloride","TABLET;ORAL","006134","HIKMA","06/02/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/006134s050lbl.pdf#page=36"
"Doral","Quazepam","TABLET;ORAL","018708","GALT PHARMS","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018708s029lbl.pdf#page=11"
"Dotarem","Gadoterate Meglumine","SOLUTION;INTRAVENOUS","204781","GUERBET","07/23/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/204781s012lbl.pdf#page=17"
"Drizalma Sprinkle","Duloxetine Hydrochloride","CAPSULE, DELAYED REL PELLETS;ORAL","212516","SUN PHARMA GLOBAL","07/23/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212516s002lbl.pdf#page=46"
"Droxia","Hydroxyurea","CAPSULE;ORAL","016295","BRISTOL MYERS SQUIBB","07/22/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/016295s056MG.pdf"
"Duetact","Glimepiride; Pioglitazone Hydrochloride","TABLET;ORAL","021925","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021925s017lbl.pdf#page=39"
"Duexis","Famotidine; Ibuprofen","TABLET;ORAL","022519","HORIZON","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022519s013lbl.pdf#page=25"
"Duragesic-100","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duragesic-12","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duragesic-25","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duragesic-37","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duragesic-50","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duragesic-75","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duzallo","Allopurinol; Lesinurad","TABLET;ORAL","209203","IRONWOOD PHARMS INC","08/18/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209203s000lbl.pdf#page=27"
"Dyanavel XR","Amphetamine","SUSPENSION, EXTENDED RELEASE;ORAL","208147","TRIS PHARMA INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208147Orig1s013,210526Orig1s003lbledt#page=25"
"Dyanavel XR 10","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208147Orig1s013,210526Orig1s003lbledt#page=25"
"Dyanavel XR 15","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208147Orig1s013,210526Orig1s003lbledt#page=25"
"Dyanavel XR 20","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208147Orig1s013,210526Orig1s003lbledt#page=25"
"Dyanavel XR 5","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/208147Orig1s013,210526Orig1s003lbledt#page=25"
"Dysport","Abobotulinumtoxina","INJECTABLE; INJECTION","125274","IPSEN BIOPHARM LTD","01/12/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125274s123lbl.pdf#page=30"
"EC-Naprosyn","Naproxen","TABLET, DELAYED RELEASE;ORAL","020067","ATNAHS PHARMA US","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017581s115,018164s065,020067s024lbl.pdf#page=23"
"Edluar","Zolpidem Tartrate","TABLET;SUBLINGUAL","021997","MYLAN SPECIALITY LP","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021997s011lbl.pdf#page=23"
"Effexor","Venlafaxine Hydrochloride","TABLET;ORAL","020151","WYETH PHARMS INC","12/12/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020151s031s055s058s060lbl.pdf#page=34"
"Effexor XR","Venlafaxine Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","020699","UPJOHN","08/15/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/20699s112lbl.pdf#page=38"
"Effient","Prasugrel Hydrochloride","TABLET;ORAL","022307","DAIICHI SANKYO INC","12/22/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022307s018lbl.pdf#page=21"
"Elepsia XR","Levetiracetam","TABLET, EXTENDED RELEASE;ORAL","204417","TRIPOINT","12/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204417s004lbl.pdf#page=25"
"Elidel","Pimecrolimus","CREAM;TOPICAL","021302","BAUSCH","06/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088587.pdf"
"Eliquis","Apixaban","TABLET;ORAL","202155","BRISTOL MYERS SQUIBB","10/12/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202155s034lbl.pdf#page=38"
"Elmiron","Pentosan Polysulfate Sodium","CAPSULE;ORAL","020193","JANSSEN PHARMS","03/12/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020193s015lbl.pdf#page=11"
"Elucirem","Gadopiclenol","INJECTABLE;INTRAVENOUS","216986","LIEBEL-FLARSHEIM COMPANY","09/21/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216986s000lbl.pdf#page=17"
"Elyxyb","Celecoxib","SOLUTION;ORAL","212157","BDSI","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212157s000lbl.pdf#page=24"
"Embeda","Morphine Sulfate; Naltrexone Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","022321","ALPHARMA PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022321s030lbl.pdf#page=30"
"Emsam","Selegiline","FILM, EXTENDED RELEASE;TRANSDERMAL","021336","SOMERSET","07/14/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021336s014lbl.pdf#page=34"
"Enbrel","Etanercept","VIAL; SUBCUTANEOUS","103795","IMMUNEX","02/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/103795s5574s5577lbl.pdf#page=35"
"Enbrel","Etanercept","SYRINGE","103795","IMMUNEX","02/26/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/103795s5574s5577lbl.pdf#page=35"
"Enhertu","Fam-Trastuzumab Deruxtecan-Nxki","INJECTABLE;INJECTION","761139","DAIICHI SANKYO","08/11/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761139s022lbl.pdf#page=31"
"Enjaymo","Sutimlimab-Jome","INJECTABLE;INJECTION","761164","BIOVERATIV THERAPEUTICS INC","02/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761164s000lbl.pdf#page=13"
"Enspryng","Satralizumab-Mwge","INJECTABLE;SUBCUTANEOUS","761149","GENETECH, INC","09/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761149s005lbl.pdf#page=16"
"Entyvio","Vedolizumab","INJECTABLE;INJECTION","125476","TAKEDA PHARMS USA","08/17/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125476s038s039lbl.pdf#page=20"
"Envarsus XR","Tacrolimus","TABLET, EXTENDED RELEASE;ORAL","206406","VELOXIS PHARMS INC","09/16/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206406s007lbl.pdf#page=29"
"Eovist","Gadoxetate Disodium","SOLUTION;INTRAVENOUS","022090","BAYER HLTHCARE","12/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022090s020lbledt.pdf#page=15"
"Epidiolex","Cannabidiol","SOLUTION;ORAL","210365","GW RES LTD","02/24/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/210365s015lbl.pdf#page=32"
"Epogen","Epoetin Alfa","VIAL; SINGLE-USE","103234","AMGEN","07/25/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103234s5363s5366lbl.pdf#page=27"
"Epzicom","Abacavir Sulfate; LAmivudine","TABLET;ORAL","021652","VIIV HLTHCARE","12/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021652s029lbl.pdf#page=28"
"Equetro","Carbamazepine","CAPSULE, EXTENDED RELEASE;ORAL","021710","VALIDUS PHARMS","10/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021710s018lbl.pdf#page=27"
"Erelzi","Etanercept-Szzs","INJECTABLE; INJECTION","761042","SANDOZ","11/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761042s018lbl.pdf#page=41"
"Erivedge","Vismodegib","CAPSULE;ORAL","203388","GENENTECH","07/31/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/203388s016lbl.pdf#page=14"
"Esomeprazole Strontium","Esomeprazole Strontium","CAPSULE, DELAYED RELEASE;ORAL","202342","BELCHER","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202342s007lbl.pdf#page=29"
"Estazolam","Estazolam","TABLET;ORAL","074921","MAYNE PHARMA","02/05/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM359235.pdf"
